task,family,seed,success,policy_decisions,model_calls,elapsed_s,end_reason,last_failure
adjust_bottle,抓取与双臂协作,100001,True,2,3,58.874010291998275,environment_success,
beat_block_hammer,接触与工具操作,100000,True,2,9,121.80606067500776,environment_success,
blocks_ranking_rgb,堆叠与排序,100000,True,8,6,86.09770723601105,environment_success,
blocks_ranking_size,堆叠与排序,100000,True,8,5,71.98917987797176,environment_success,
click_alarmclock,接触与工具操作,100000,True,1,3,23.27448572695721,environment_success,
click_bell,接触与工具操作,100000,True,1,2,16.296302132017445,environment_success,
dump_bin_bigbin,姿态与特殊目标,100001,False,30,65,275.35217987402575,decision_budget,No depth at destination
grab_roller,抓取与双臂协作,100000,True,4,5,53.61645887501072,environment_success,
handover_block,抓取与双臂协作,100000,True,4,7,58.29725000297185,environment_success,
handover_mic,抓取与双臂协作,100000,True,2,2,29.185407932964154,environment_success,
hanging_mug,姿态与特殊目标,100000,False,17,49,235.79080439498648,invalid_model_action,No reachable empty-arm observation pose
lift_pot,抓取与双臂协作,100000,True,3,6,52.398012693971395,environment_success,
move_can_pot,放置与搬运,100000,True,4,11,71.7213466350222,environment_success,
move_pillbottle_pad,放置与搬运,100002,True,2,7,42.15998605597997,environment_success,
move_playingcard_away,放置与搬运,100000,False,30,134,587.843002706999,decision_budget,No reachable grasp orientation; change arm or contact location
move_stapler_pad,放置与搬运,100000,True,2,6,37.3567871460109,environment_success,
open_laptop,接触与工具操作,100000,False,4,36,162.51005980803166,invalid_model_action,
open_microwave,接触与工具操作,100000,True,17,46,265.8290646550013,environment_success,
pick_diverse_bottles,抓取与双臂协作,100000,True,5,7,72.24129700002959,environment_success,
pick_dual_bottles,抓取与双臂协作,100000,True,4,6,66.6925752160023,environment_success,
place_a2b_left,放置与搬运,100000,True,5,11,86.561875408981,environment_success,
place_a2b_right,放置与搬运,100000,True,6,10,81.33245170698501,environment_success,
place_bread_basket,放置与搬运,100000,True,2,6,44.31849859695649,environment_success,
place_bread_skillet,放置与搬运,100004,True,6,11,92.24029018497095,environment_success,
place_burger_fries,放置与搬运,100000,True,5,10,73.80286906805122,environment_success,
place_can_basket,放置与搬运,100000,True,7,15,123.32689945603488,environment_success,
place_cans_plasticbox,放置与搬运,100000,True,5,11,73.36883065698203,environment_success,
place_container_plate,放置与搬运,100000,True,2,6,40.28062749101082,environment_success,
place_dual_shoes,放置与搬运,100001,False,30,85,477.65352957497817,decision_budget,Empty grasp: no bilateral object contact
place_empty_cup,放置与搬运,100000,False,30,157,384.6387556850095,decision_budget,PUSH distance must be 1.5–45 cm
place_fan,放置与搬运,100002,False,29,388,1200.6331607079483,wall_time_budget,
place_mouse_pad,放置与搬运,100000,True,4,10,86.75009743100964,environment_success,
place_object_basket,放置与搬运,100000,False,4,10,70.85097965103341,invalid_model_action,
place_object_scale,放置与搬运,100000,True,2,7,80.44251569296466,environment_success,
place_object_stand,放置与搬运,100000,True,2,6,41.42700013000285,environment_success,
place_phone_stand,放置与搬运,100000,True,2,6,41.14704097399954,environment_success,
place_shoe,放置与搬运,100000,True,3,9,57.370597718982026,environment_success,
press_stapler,接触与工具操作,100000,True,2,10,52.825764469977,environment_success,
put_bottles_dustbin,放置与搬运,100000,False,22,293,1200.8060140209855,wall_time_budget,
put_object_cabinet,放置与搬运,100029,False,15,65,292.0916829490452,invalid_model_action,
rotate_qrcode,姿态与特殊目标,100001,False,30,48,300.91553238302004,decision_budget,
scan_object,姿态与特殊目标,100002,False,30,45,321.5090645670425,decision_budget,
shake_bottle,姿态与特殊目标,100001,True,1,2,30.17667621502187,environment_success,
shake_bottle_horizontally,姿态与特殊目标,100000,True,1,2,22.439524970017374,environment_success,
stack_blocks_three,堆叠与排序,100000,True,8,12,100.25549421098549,environment_success,
stack_blocks_two,堆叠与排序,100000,True,6,12,73.5912808739813,environment_success,
stack_bowls_three,堆叠与排序,100000,False,30,83,482.1788734240108,decision_budget,Empty grasp: no bilateral object contact
stack_bowls_two,堆叠与排序,100000,True,7,9,80.46770759898936,environment_success,
stamp_seal,接触与工具操作,100000,False,16,61,237.55538882303517,invalid_model_action,No reachable placement orientation; choose a closer destination or adjust held pose
turn_switch,接触与工具操作,100000,True,3,8,83.05390569102019,environment_success,
