task,family,total,successes,mean_decisions,mean_elapsed_s
adjust_bottle,抓取与双臂协作,10,1,20.1,288.75519618890246
beat_block_hammer,接触与工具操作,10,4,14.2,266.6008335916093
blocks_ranking_rgb,堆叠与排序,10,6,17,334.84481173439417
blocks_ranking_size,堆叠与排序,10,5,19.2,334.7360255537089
click_alarmclock,接触与工具操作,10,9,4.3,113.04623564120848
click_bell,接触与工具操作,10,10,6.1,252.6414367323974
dump_bin_bigbin,姿态与特殊目标,10,0,21.2,547.56133796273
grab_roller,抓取与双臂协作,10,7,5.9,117.11667091687559
handover_block,抓取与双臂协作,10,3,22.9,479.817299072566
handover_mic,抓取与双臂协作,10,2,23.9,595.101941938221
hanging_mug,姿态与特殊目标,10,0,27,698.6788710114326
lift_pot,抓取与双臂协作,10,7,8.8,230.2520687617685
move_can_pot,放置与搬运,10,2,16.8,477.7254558632202
move_pillbottle_pad,放置与搬运,10,5,11,290.9311499212312
move_playingcard_away,放置与搬运,10,1,20,558.7420579866739
move_stapler_pad,放置与搬运,10,8,8.5,275.56818562638944
open_laptop,接触与工具操作,10,1,10.4,353.5602047279899
open_microwave,接触与工具操作,10,0,13.5,538.9662617495109
pick_diverse_bottles,抓取与双臂协作,10,4,18.6,328.60860154444043
pick_dual_bottles,抓取与双臂协作,10,10,4,101.53240423278184
place_a2b_left,放置与搬运,10,7,12,244.32685805930524
place_a2b_right,放置与搬运,10,5,8,240.76164231349247
place_bread_basket,放置与搬运,10,8,7.8,241.53837766890064
place_bread_skillet,放置与搬运,10,4,9.5,261.17657593180775
place_burger_fries,放置与搬运,10,4,12.6,351.39577680551156
place_can_basket,放置与搬运,10,6,7.2,187.3481349136758
place_cans_plasticbox,放置与搬运,10,8,7,197.0586603674921
place_container_plate,放置与搬运,10,7,9.5,327.9562151524458
place_dual_shoes,放置与搬运,10,0,29.2,769.33586694544
place_empty_cup,放置与搬运,10,4,17.9,509.37267476712196
place_fan,放置与搬运,10,0,16.1,579.5881546312448
place_mouse_pad,放置与搬运,10,7,12.4,341.7290961470047
place_object_basket,放置与搬运,10,0,17.1,374.0743071567966
place_object_scale,放置与搬运,10,5,13.3,358.60776360860325
place_object_stand,放置与搬运,10,9,3.3,124.93739511730965
place_phone_stand,放置与搬运,10,4,19.9,500.5864002873015
place_shoe,放置与搬运,10,5,16.7,471.4328005905962
press_stapler,接触与工具操作,10,10,1.2,66.17904721979866
put_bottles_dustbin,放置与搬运,10,1,13.7,212.85647373850225
put_object_cabinet,放置与搬运,10,0,26.3,742.5585463340103
rotate_qrcode,姿态与特殊目标,10,0,21.9,692.0096260951323
scan_object,姿态与特殊目标,10,1,20,588.4877291846278
shake_bottle,姿态与特殊目标,10,10,1.6,69.20421797151212
shake_bottle_horizontally,姿态与特殊目标,10,10,1,69.14439601651392
stack_blocks_three,堆叠与排序,10,7,11.6,375.2006325342227
stack_blocks_two,堆叠与排序,10,9,7,131.9893815855612
stack_bowls_three,堆叠与排序,10,0,11.2,433.7218422777886
stack_bowls_two,堆叠与排序,10,3,17.2,482.92862658639206
stamp_seal,接触与工具操作,10,6,14.2,328.86139772098977
turn_switch,接触与工具操作,10,8,10.5,262.76889780499624
